accession,species,description,source_type,plasmid_name,replicon_types,mge_elements,country,percent_identity,query_coverage,alignment_length,mismatches,gaps,evalue,bit_score,hit_length,subject_start,subject_end
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,116047,65306,55218
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,99.87,7.55,762,1,0,0.0,1402.73,116047,111051,111812
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,7.51,758,0,0,0.0,1400.88,116047,11891,11134
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,7.51,758,0,0,0.0,1400.88,116047,111812,111055
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,99.87,7.55,762,1,1,0.0,1400.88,116047,112574,113334
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,116047,1371,2127
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,116047,2127,1371
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,116047,11134,11890
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,116047,18026,18782
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,116047,18782,18026
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,116047,24233,24989
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,116047,24989,24233
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,116047,55218,55974
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,116047,64550,65306
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,7.5,757,0,0,0.0,1399.03,116047,113330,112574
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,96.97,1.31,132,4,0,9.81719e-52,222.718,116047,58899,58768
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,96.97,1.31,132,4,0,9.81719e-52,222.718,116047,58979,58848
