Sample,Gene,Product,Contig,Contig_Size,Location,Start,Stop,Strand,Type,DB_Xrefs
JKPB244,glvC,Phosphotransferase IIC component GlvC,contig_1,0,Small replicon (~0kb),22419,24041,+,cds,"SO:0001217, UniRef:UniRef50_P31452"
JKPB244,emrD,multidrug efflux MFS transporter EmrD,contig_1,0,Small replicon (~0kb),30653,31837,-,cds,"BlastRules:WP_000828740, BlastRules:WP_000828746, BlastRules:WP_115740452, NCBIProtein:ACN65732.1, SO:0001217, UniRef:UniRef50_D2U3C7"
JKPB244,,N-acetyltransferase domain-containing protein,contig_1,0,Small replicon (~0kb),32914,33360,-,cds,"SO:0001217, UniRef:UniRef50_A0A564KKC6"
JKPB244,,"N,N'-diacetylchitobiose-specific phosphotransferase enzyme IIA component",contig_1,0,Small replicon (~0kb),52945,53247,-,cds,"SO:0001217, UniRef:UniRef50_A0A1R4B278"
JKPB244,,Oligo-beta-mannoside-specific phosphotransferase enzyme IIB component,contig_1,0,Small replicon (~0kb),54679,54993,-,cds,"SO:0001217, UniRef:UniRef50_A0A443VQZ3"
JKPB244,,Bcr/CflA family efflux transporter,contig_1,0,Small replicon (~0kb),67817,68980,-,cds,"SO:0001217, UniRef:UniRef50_A0A2V2LRA0"
JKPB244,eefC,multidrug efflux RND transporter outer membrane subunit EefC,contig_1,0,Small replicon (~0kb),69026,70390,-,cds,"BlastRules:WP_015369099, SO:0001217, UniRef:UniRef50_A0A330S0A4"
JKPB244,eefB,multidrug efflux RND transporter permease subunit EefB,contig_1,0,Small replicon (~0kb),70394,73501,-,cds,"BlastRules:WP_118948569, SO:0001217, UniRef:UniRef50_A0A7Z2X8I0"
JKPB244,eefA,multidrug efflux RND transporter periplasmic adaptor subunit EefA,contig_1,0,Small replicon (~0kb),73501,74625,-,cds,"BlastRules:WP_020077652, SO:0001217, UniRef:UniRef50_A0A376LQ63"
JKPB244,,GCN5-related N-acetyltransferase,contig_1,0,Small replicon (~0kb),75005,75421,+,cds,"SO:0001217, UniRef:UniRef50_C6DJN5"
JKPB244,,Drug resistance transporter EmrB/QacA subfamily protein,contig_1,0,Small replicon (~0kb),76779,78272,+,cds,"SO:0001217, UniRef:UniRef50_A0A377YUR1"
JKPB244,,tRNA (guanosine(18)-2'-O)-methyltransferase,contig_1,0,Small replicon (~0kb),116215,116904,-,cds,"SO:0001217, UniRef:UniRef50_Q6DB63"
JKPB244,,Methylated-DNA--protein-cysteine methyltransferase,contig_1,0,Small replicon (~0kb),124140,125198,-,cds,"SO:0001217, UniRef:UniRef50_A0A1A8T2V7"
JKPB244,emrA,Multidrug export protein EmrA,contig_1,0,Small replicon (~0kb),131683,132648,+,cds,"SO:0001217, UniRef:UniRef50_A0A8B6IRA5"
JKPB244,,Serine acetyltransferase,contig_1,0,Small replicon (~0kb),165298,166119,+,cds,"SO:0001217, UniRef:UniRef50_P0A9D4"
JKPB244,,tRNA (cytidine(34)-2'-O)-methyltransferase,contig_1,0,Small replicon (~0kb),166201,166674,-,cds,"SO:0001217, UniRef:UniRef50_A0A7G2IVK6"
JKPB244,yjaB,Uncharacterized N-acetyltransferase YjaB,contig_1,0,Small replicon (~0kb),217777,218217,-,cds,"SO:0001217, UniRef:UniRef50_A0A2X3EEX4"
JKPB244,,Acetyltransferase,contig_1,0,Small replicon (~0kb),272076,272609,-,cds,"SO:0001217, UniRef:UniRef50_A0A1V2BNV3"
JKPB244,,Ribosomal RNA large subunit methyltransferase J,contig_1,0,Small replicon (~0kb),277944,278786,-,cds,"SO:0001217, UniRef:UniRef50_P37634"
JKPB244,,Ribosomal RNA small subunit methyltransferase J,contig_1,0,Small replicon (~0kb),282484,283236,+,cds,"SO:0001217, UniRef:UniRef50_C5WC51"
JKPB244,mgtE,Magnesium transporter MgtE,contig_1,0,Small replicon (~0kb),289281,290294,-,cds,"SO:0001217, UniRef:UniRef50_B4F1B9"
JKPB244,arnC,undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase ArnC,contig_1,0,Small replicon (~0kb),299053,300036,+,cds,"BlastRules:WP_014906821, SO:0001217, UniRef:UniRef50_P77757"
JKPB244,arnA,Bifunctional polymyxin resistance protein ArnA,contig_1,0,Small replicon (~0kb),300033,302018,+,cds,"SO:0001217, UniRef:UniRef50_P77398"
JKPB244,arnD,putative 4-deoxy-4-formamido-L-arabinose-phosphoundecaprenol deformylase ArnD,contig_1,0,Small replicon (~0kb),302015,302917,+,cds,"SO:0001217, UniRef:UniRef50_P76472"
JKPB244,arnE,putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnE,contig_1,0,Small replicon (~0kb),304569,304907,+,cds,"SO:0001217, UniRef:UniRef50_O52328"
JKPB244,arnF,putative 4-amino-4-deoxy-L-arabinose-phosphoundecaprenol flippase subunit ArnF,contig_1,0,Small replicon (~0kb),304907,305287,+,cds,"SO:0001217, UniRef:UniRef50_A0A0H3FNJ2"
