,Ref_CP025458,Ref_CP045264,Ref_CP047161,Ref_CP073303,Ref_CP082020,Ref_CP097693,Ref_CP192284,Ref_KX236178,Ref_MT648513,Ref_MZ709016,SA_JKPB244,SA_JKPB284,SA_JKPB381,SA_JKPR282,SA_KP21802,SA_KP21915,SA_MDRKP121,SA_MDRKP122
Ref_CP025458,100.0,99.89,99.91,99.93,99.91,99.92,99.92,99.31,99.91,99.93,99.92,99.92,99.91,99.93,99.92,99.92,99.92,99.93
Ref_CP045264,99.89,100.0,99.93,99.91,99.9,99.9,99.95,99.48,99.91,99.9,99.94,99.93,99.88,99.93,99.93,99.93,99.93,99.94
Ref_CP047161,99.91,99.93,100.0,99.97,99.94,99.95,99.97,99.44,99.95,99.95,99.95,99.96,99.87,99.96,99.95,99.96,99.96,99.95
Ref_CP073303,99.93,99.91,99.97,100.0,99.97,99.98,99.82,99.1,99.98,99.99,99.98,99.99,99.9,99.99,99.98,99.99,99.99,99.98
Ref_CP082020,99.91,99.9,99.94,99.97,100.0,99.95,99.97,99.51,99.95,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96,99.96
Ref_CP097693,99.92,99.9,99.95,99.98,99.95,100.0,99.98,99.41,99.96,99.97,99.97,99.97,99.88,99.97,99.97,99.97,99.97,99.97
Ref_CP192284,99.92,99.95,99.97,99.82,99.97,99.98,100.0,99.54,99.96,99.97,99.97,99.98,99.96,99.97,99.98,99.98,99.97,99.98
Ref_KX236178,99.31,99.48,99.44,99.1,99.51,99.41,99.54,100.0,99.19,99.18,99.21,99.2,99.06,99.21,99.21,99.21,99.21,99.21
Ref_MT648513,99.91,99.91,99.95,99.98,99.95,99.96,99.96,99.19,100.0,99.97,99.98,99.97,99.91,99.97,99.97,99.97,99.97,99.97
Ref_MZ709016,99.93,99.9,99.95,99.99,99.96,99.97,99.97,99.18,99.97,100.0,99.98,99.99,99.94,99.99,99.99,99.99,99.99,99.99
SA_JKPB244,99.92,99.94,99.95,99.98,99.96,99.97,99.97,99.21,99.98,99.98,100.0,99.99,99.94,99.99,99.99,99.99,99.99,99.99
SA_JKPB284,99.92,99.93,99.96,99.99,99.96,99.97,99.98,99.2,99.97,99.99,99.99,100.0,99.94,99.99,99.99,99.99,99.99,99.99
SA_JKPB381,99.91,99.88,99.87,99.9,99.96,99.88,99.96,99.06,99.91,99.94,99.94,99.94,100.0,99.9,99.9,99.9,99.9,99.9
SA_JKPR282,99.93,99.93,99.96,99.99,99.96,99.97,99.97,99.21,99.97,99.99,99.99,99.99,99.9,100.0,99.99,99.99,99.99,99.99
SA_KP21802,99.92,99.93,99.95,99.98,99.96,99.97,99.98,99.21,99.97,99.99,99.99,99.99,99.9,99.99,100.0,99.99,99.99,100.0
SA_KP21915,99.92,99.93,99.96,99.99,99.96,99.97,99.98,99.21,99.97,99.99,99.99,99.99,99.9,99.99,99.99,100.0,99.99,100.0
SA_MDRKP121,99.92,99.93,99.96,99.99,99.96,99.97,99.97,99.21,99.97,99.99,99.99,99.99,99.9,99.99,99.99,99.99,100.0,99.99
SA_MDRKP122,99.93,99.94,99.95,99.98,99.96,99.97,99.98,99.21,99.97,99.99,99.99,99.99,99.9,99.99,100.0,100.0,99.99,100.0
