,Ref_CP025458,Ref_CP045264,Ref_CP047161,Ref_CP073303,Ref_CP082020,Ref_CP097693,Ref_CP192284,Ref_KX236178,Ref_MT648513,Ref_MZ709016,SA_JKPB244,SA_JKPB284,SA_JKPB381,SA_JKPR282,SA_KP21802,SA_KP21915,SA_MDRKP121,SA_MDRKP122
Ref_CP025458,100.0,99.68,98.6,96.15,98.92,100.0,99.68,46.68,100.0,98.92,100.0,100.0,84.93,99.89,100.0,100.0,99.91,99.91
Ref_CP045264,99.68,100.0,98.93,96.18,98.93,100.0,100.0,45.87,100.0,98.93,100.0,100.0,84.91,99.89,100.0,100.0,99.92,99.92
Ref_CP047161,98.6,98.93,100.0,96.02,100.0,100.0,100.0,48.82,100.0,100.0,100.0,100.0,85.1,99.89,100.0,100.0,99.92,99.92
Ref_CP073303,96.15,96.18,96.02,100.0,98.9,100.0,99.68,48.48,100.0,98.9,100.0,100.0,84.81,99.89,100.0,100.0,99.91,99.91
Ref_CP082020,98.92,98.93,100.0,98.9,100.0,95.19,99.7,40.58,100.0,100.0,100.0,100.0,84.8,99.89,100.0,100.0,99.92,99.92
Ref_CP097693,100.0,100.0,100.0,100.0,95.19,100.0,99.69,45.95,100.0,98.94,100.0,100.0,85.4,99.9,100.0,100.0,99.92,99.92
Ref_CP192284,99.68,100.0,100.0,99.68,99.7,99.69,100.0,44.97,100.0,98.93,100.0,100.0,84.52,99.89,100.0,100.0,99.92,99.92
Ref_KX236178,46.68,45.87,48.82,48.48,40.58,45.95,44.97,100.0,45.96,45.96,45.96,45.96,37.89,45.84,45.96,45.96,45.87,45.87
Ref_MT648513,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45.96,100.0,98.93,100.0,100.0,85.05,99.89,100.0,100.0,99.92,99.92
Ref_MZ709016,98.92,98.93,100.0,98.9,100.0,98.94,98.93,45.96,98.93,100.0,100.0,100.0,84.4,99.89,100.0,100.0,99.92,99.92
SA_JKPB244,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45.96,100.0,100.0,100.0,100.0,83.61,99.9,100.0,100.0,99.92,99.92
SA_JKPB284,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45.96,100.0,100.0,100.0,100.0,83.61,99.9,100.0,100.0,99.92,99.92
SA_JKPB381,84.93,84.91,85.1,84.81,84.8,85.4,84.52,37.89,85.05,84.4,83.61,83.61,100.0,100.0,100.0,100.0,100.0,100.0
SA_JKPR282,99.89,99.89,99.89,99.89,99.89,99.9,99.89,45.84,99.89,99.89,99.9,99.9,100.0,100.0,100.0,100.0,99.92,99.92
SA_KP21802,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.92,99.92
SA_KP21915,100.0,100.0,100.0,100.0,100.0,100.0,100.0,45.96,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.92,99.92
SA_MDRKP121,99.91,99.92,99.92,99.91,99.92,99.92,99.92,45.87,99.92,99.92,99.92,99.92,100.0,99.92,99.92,99.92,100.0,100.0
SA_MDRKP122,99.91,99.92,99.92,99.91,99.92,99.92,99.92,45.87,99.92,99.92,99.92,99.92,100.0,99.92,99.92,99.92,100.0,100.0
