accession,species,description,source_type,plasmid_name,replicon_types,mge_elements,country,percent_identity,query_coverage,alignment_length,mismatches,gaps,evalue,bit_score,hit_length,subject_start,subject_end,geographic_origin,host_organism,collection_date,isolation_source_detail
CP074118,Klebsiella pneumoniae,"Klebsiella pneumoniae subsp. pneumoniae strain kpn-hnqyy plasmid unnamed2, complete sequence",Plasmid,unnamed2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,116047,65306,55218,China,Homo sapiens,2021-01-06,Abdominal pus
CP082042,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP19-2196 plasmid pKP19-2196-KPC2, complete sequence",Plasmid,pKP19-2196-KPC2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,160563,8262,18350,China,Homo sapiens,2019-02-23,Hydrothorax
CP095427,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IM029 plasmid pIM029_KPC, complete sequence",Plasmid,pIM029_KPC,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,120647,108215,98127,China,patient,2019-04-26,sputum
CP128565,Klebsiella pneumoniae,"Klebsiella pneumoniae strain ZY27320 plasmid pKPC2_NDM5, complete sequence",Plasmid,pKPC2_NDM5,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,167277,8262,18350,China,Homo sapiens,2021-02-27,abdominal drainage
CP082020,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-2050 plasmid pKP18-2050-KPC2, complete sequence",Plasmid,pKP18-2050-KPC2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,135837,59359,69447,China,Homo sapiens,2018-11-13,blood
OR666713,Klebsiella pneumoniae,"Klebsiella pneumoniae strain QL4 plasmid pQL4-KPC, complete sequence",Plasmid,pQL4-KPC,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,112469,105057,94969,China,Not specified,2021,Clinical specimen
OR253888,Klebsiella pneumoniae,"Klebsiella pneumoniae plasmid pQL5-NDM-KPC, complete sequence",Plasmid,pQL5-NDM-KPC,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,214266,107852,97764,China,infant,Not specified,Not specified
CP082012,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KP18-41 plasmid pKP18-41-KPC2, complete sequence",Plasmid,pKP18-41-KPC2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,153214,8262,18350,China,Homo sapiens,2018-06-21,blood
CP178863,Klebsiella pneumoniae,"Klebsiella pneumoniae strain KPZ2 plasmid unnamed, complete sequence",Plasmid,unnamed,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,144133,61150,51062,China,Homo sapiens,2020-02-01,sputum
CP144509,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JNP887 plasmid pJNP887-3, complete sequence",Plasmid,pJNP887-3,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,112461,60531,50443,China,Homo sapiens,2021-09-06,sputum
CP131920,Klebsiella pneumoniae,"Klebsiella pneumoniae strain 234 plasmid p234-KPC-2, complete sequence",Plasmid,p234-KPC-2,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,84970,35277,45365,China,Not specified,2022-07-04,sputum
CP125287,Klebsiella pneumoniae,"Klebsiella pneumoniae strain JLKP1009 plasmid pJLKP1009, complete sequence",Plasmid,pJLKP1009,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,167464,109294,119382,China,Homo sapiens,2020-10-04,sputum
CP097693,Klebsiella pneumoniae,"Klebsiella pneumoniae strain IR12094_1 plasmid unnamed1, complete sequence",Plasmid,unnamed1,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,130677,92653,102741,China,Homo sapiens,2022-01-19,Not specified
OR900370,Klebsiella sp,"Klebsiella sp. strain J53AziR plasmid pQL1ds-KPC, complete sequence",Plasmid,pQL1ds-KPC,Not specified,Not specified,Not specified,100.0,100.0,10089,0,0,0.0,18632.0,112479,34559,44647,China,Not specified,2021,Conjugants
